index	E0000355	E0000361	E0000362	E0000369	E0000376	E0000378	E0000382	E0000393	E0000404	E0000410	E0000416	E0000418	E0000419	E0000420	E0000426	E0000428	E0000432	E0000433	E0000435	E0000442	E0000466	E0000467	E0000471	E0000478	E0000480	E0000482	E0000488	E0000490	E0000495	E0000498	E0000501	E0000502	E0000516	E0000520	E0000521	E0000522	E0000527	E0000531	E0000537	E0000539	E0000540	E0001336	E0001340	E0001346	PV101516	PV101570	PV101581	PV101643	PV101656	PV101894	PV101895	PV101929	PV101945	PV101948	PV101962	PV102349	PV102418	PV102462	PV102474	PV102574	PV102580	PV19497	PV19551	PV19565	PV19588	PV19658	PV19708	PV19755	PV19834	PV19855	PV19856	PV19882	PV19936	PV19942	PV19991	PV20005	PV20541	PV20544	PV20615	PV21638	PV21671	PV21690	PV21772	PV21813	PV21876	PV23791	PV23961	PV24015	PV49580
k__Bacteria	100.0	100.0	100.0	99.90508	100.0	99.82541	98.92142	99.9986	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.75319	100.0	84.14243	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99715	99.98733	100.0	100.0	100.0	94.0045	100.0	100.0	100.0	99.89541	100.0	100.0	99.50015	100.0	100.0	100.0	99.68054	100.0	100.0	99.13264	100.0	100.0	92.4581	100.0	100.0	99.56302	100.0	97.43638	100.0	99.98041	100.0	62.61111	97.33991	100.0	100.0	100.0	100.0	99.98727	100.0	99.96051	99.73122	100.0	100.0	100.0	100.0	99.93178	100.0	100.0	100.0	100.0	100.0	100.0	99.75118	100.0	100.0	100.0	99.03173	100.0	99.05821	100.0	100.0
k__Bacteria|p__Firmicutes	69.13686	45.35449	21.34741	56.53953	30.55457	54.11868	49.45192	10.57941	7.11095	30.2455	52.69443	57.60911	37.00898	55.17102	29.38629	17.13087	15.58481	26.11379	49.51415	26.52066	59.38992	42.46965	35.65915	29.24947	37.37888	20.38816	50.17391	19.80917	41.91854	35.16919	33.49538	63.17734	8.31439	18.07363	15.41113	52.98956	34.267	60.86057	13.37863	26.11154	26.46476	43.60885	52.85939	46.28	18.2086	25.28162	14.56907	22.5332	38.18396	9.31123	46.95831	30.58877	19.84958	16.93757	10.64387	71.83512	56.24166	24.4001	46.69707	23.40469	40.82589	15.1995	21.28606	37.45781	28.96985	16.13179	27.58606	40.14468	28.24893	13.12687	22.09355	20.16738	51.56542	26.48654	24.66632	20.46893	16.06054	31.5962	18.15826	7.96019	42.88399	5.85428	27.41629	20.89946	16.36667	25.94842	50.40163	23.90169	16.99051
k__Bacteria|p__Bacteroidetes	27.08937	46.59596	70.67223	41.77775	62.02326	40.2025	38.87602	77.34461	87.31571	66.29868	23.20505	33.46591	41.81037	41.10175	67.52618	66.20891	81.66189	55.84063	45.57626	52.23446	34.10355	52.7289	59.8454	56.03419	60.24809	74.24718	42.52311	78.99537	51.81008	62.65093	60.50862	32.26615	85.75083	49.43016	72.99972	30.86024	40.78935	33.80485	85.02861	63.52945	66.31386	51.59165	44.27859	50.91783	65.60094	67.02184	81.78782	73.54034	59.24474	87.33619	34.49425	64.94146	74.6414	75.62722	83.14191	18.72283	34.57197	48.25641	51.16238	35.35509	45.67055	74.50216	72.78384	56.56638	63.1413	82.27828	67.07126	46.11281	54.39299	85.19619	54.3119	60.18103	45.26541	64.32355	57.30099	72.33921	77.16298	64.24236	80.897	53.76389	53.08024	78.45115	69.86802	74.63493	66.27841	68.13299	39.33646	74.23396	54.82735
k__Bacteria|p__Actinobacteria	2.90141	0.36346	0.37822	0.8344	4.22854	0.94005	0.92514	1.72509	0.26782	0.57293	18.05481	1.30721	8.37533	2.69835	0.59543	0.54004	0.85323	3.23834	1.43473	0.61275	3.10916	0.86109	1.70923	3.21634	0.50093	0.74289	2.50194	0.32845	1.0776	0.91887	0.7898	1.4242	1.0954	0.15475	0.86249	0.90129	22.28219	1.99836	0.21318	0.24841	0.05317	2.55808	1.35425	1.25649	11.20097	4.60876	0.24294	0.38938	0.69044	0.99216	5.73959	2.12762	2.10367	0.60964	0.50865	1.16166	4.89643	0.16944	1.62529	2.26395	1.48686	1.20559	3.89099	0.13095	0.51154	0.09325	4.11565	5.05103	0.63812	0.66755	1.06875	0.4285	0.15267	0.50724	8.12525	0.09528	0.65217	0.27379	0.42412	0.20629	1.26567	4.59459	1.35476	0.31378	0.60106	0.77568	3.64033	0.18909	0.11269
k__Bacteria|p__Proteobacteria	0.87148	7.57361	7.36343	0.7534	2.222	4.18172	4.96952	2.28839	2.4233	1.90286	6.04572	7.35681	12.79761	0.97914	2.4921	3.03954	1.86576	14.56044	3.34692	4.70528	3.24755	3.93672	2.78621	3.36749	1.82456	4.62177	0.8969	0.86702	1.5013	0.95576	4.0847	1.33825	3.98891	26.34595	2.89219	3.56286	2.26274	3.23162	0.41613	3.30143	6.65611	2.24142	1.50777	1.53017	4.67003	1.66398	2.41433	1.66721	1.86611	0.78586	2.78849	1.71473	3.316	6.37979	5.42619	5.66339	4.02405	20.16931	0.51526	1.58739	5.32851	0.41585	2.03303	5.46273	7.27799	1.34859	1.2129	2.49795	16.42149	1.00939	15.47728	18.65154	2.61208	8.5897	3.17587	1.19177	3.25865	1.99845	0.51659	34.63514	2.51679	9.78217	0.36539	3.00116	15.75895	4.5019	5.52162	1.22486	27.39076
k__Bacteria|p__Candidatus_Saccharibacteria	0.00088	0	0.006	0	0.0081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00267	0	0	0	0	0	0	0	0	0.0015	0	0.00115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0008	0	0	0	0	0	0.00027	0	0	0	0.00085	0	0	0	0	0	0	0	0.00067	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	58.60684	44.31465	7.92598	53.00658	25.27876	52.21134	38.88518	10.08936	6.84074	30.12409	49.30347	57.52528	36.77163	50.35944	26.9603	10.37843	12.69281	11.26072	45.5085	25.32612	52.50281	41.7964	31.31376	20.76839	35.28768	14.17044	27.70551	17.93603	34.64215	22.72991	32.76946	62.90366	8.03486	14.71233	13.72934	51.24702	29.49299	58.18954	6.66332	23.93728	17.27689	43.20127	49.60142	41.98819	8.85526	24.02505	14.11343	18.16725	32.22188	6.54114	46.78609	9.37265	19.05909	14.82642	4.21603	24.10557	40.45121	23.8212	35.31565	14.36447	21.2237	2.75299	20.829	25.69736	23.07105	14.60263	16.99705	39.92504	24.34485	12.96799	15.64923	15.52714	49.62948	26.37997	24.21349	18.68844	11.55586	13.87869	18.12004	6.55698	40.66907	5.72493	25.94267	9.42391	9.13075	20.97403	42.55203	16.72537	16.93924
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	27.08937	46.59596	70.67223	41.77775	62.02326	40.2025	38.87602	77.34461	87.31571	66.29868	23.20505	33.46591	41.81037	41.10175	67.52618	66.20891	81.66189	55.84063	45.57626	52.23446	34.10355	52.7289	59.8454	56.03419	60.24809	74.24718	42.52311	78.99537	51.81008	62.65093	60.50862	32.26615	85.75083	49.43016	72.99972	30.86024	40.78935	33.80485	85.02861	63.52945	66.31386	51.59165	44.27859	50.91783	65.60094	67.02184	81.78782	73.54034	59.24474	87.33619	34.49425	64.94146	74.6414	75.62722	83.14191	18.72283	34.57197	48.25641	51.16238	35.35509	45.67055	74.50216	72.78384	56.56638	63.1413	82.27828	67.07126	46.11281	54.39299	85.19619	54.3119	60.18103	45.26541	64.32355	57.30099	72.33921	77.16298	64.24236	80.897	53.76389	53.08024	78.45115	69.86802	74.63493	66.27841	68.13299	39.33646	74.23396	54.82735
k__Bacteria|p__Firmicutes|c__Negativicutes	8.91381	0.08239	12.38757	3.31943	4.97987	1.61716	4.39976	0.06121	0.0195	0.04525	1.31052	0.01448	0.02017	4.62489	2.34805	6.66655	2.04038	14.24091	3.88068	0.0115	4.43222	0.10896	3.52107	0.22309	1.92749	4.45242	22.24944	0	7.16025	2.49978	0.03794	0.04055	0.01696	2.28332	1.54402	1.64444	4.71212	1.56499	6.67868	1.69541	8.81045	0.09101	2.9804	4.09433	8.67925	1.1666	0.02783	1.84356	4.17313	2.48234	0	18.28967	0	1.96709	6.3051	5.51254	15.1691	0.41074	11.28845	6.82515	12.1132	12.35786	0.45706	0.0748	5.71752	1.47621	10.55428	0.00242	2.60189	0	6.32984	4.32493	0.89028	0	0.00042	1.6956	3.13938	17.6008	0	1.10105	0.50711	0.08338	1.09199	11.3296	0.19535	4.62206	3.67668	6.33187	0.0054
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2.90141	0.36346	0.37822	0.8344	4.22854	0.94005	0.92514	1.72509	0.26782	0.57293	18.05481	1.30721	8.37533	2.69835	0.59543	0.54004	0.85323	3.23834	1.43473	0.61275	3.10916	0.86109	1.70923	3.21634	0.50093	0.74289	2.50194	0.32845	1.0776	0.91887	0.7898	1.4242	1.0954	0.15475	0.86249	0.90129	22.28219	1.99836	0.21318	0.24841	0.05317	2.55808	1.35425	1.25649	11.20097	4.60876	0.24294	0.38938	0.69044	0.99216	5.73959	2.12762	2.10367	0.60964	0.50865	1.16166	4.89643	0.16944	1.62529	2.26395	1.48686	1.20559	3.89099	0.13095	0.51154	0.09325	4.11565	5.05103	0.63812	0.66755	1.06875	0.4285	0.15267	0.50724	8.12525	0.09528	0.65217	0.27379	0.42412	0.20629	1.26567	4.59459	1.35476	0.31378	0.60106	0.77568	3.64033	0.18909	0.11269
